DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Antalya,AYT,Edelweiss Air,A359,False,2025-05-02 05:45:00,06:07,2025-05-02 06:07:00,22
Pristina,PRN,Chair Airlines,A320,False,2025-05-02 05:45:00,06:11,2025-05-02 06:11:00,26
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-02 06:00:00,06:13,2025-05-02 06:13:00,13
Bilbao,BIO,Edelweiss Air,A320,False,2025-05-02 06:00:00,06:28,2025-05-02 06:28:00,28
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-05-02 06:10:00,06:41,2025-05-02 06:41:00,31
Pristina,PRN,Edelweiss Air,A320,False,2025-05-02 06:10:00,06:50,2025-05-02 06:50:00,40
Porto,OPO,Swiss,BCS3,False,2025-05-02 06:20:00,06:52,2025-05-02 06:52:00,32
Sharm el-Sheikh,SSH,Edelweiss Air,A320,False,2025-05-02 06:20:00,06:30,2025-05-02 06:30:00,10
Seville,SVQ,Edelweiss Air,A320,False,2025-05-02 06:20:00,06:35,2025-05-02 06:35:00,15
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-05-02 06:25:00,07:01,2025-05-02 07:01:00,36
Funchal,FNC,Edelweiss Air,A320,False,2025-05-02 06:25:00,06:56,2025-05-02 06:56:00,31
Larnaca,LCA,Edelweiss Air,A320,False,2025-05-02 06:25:00,06:55,2025-05-02 06:55:00,30
Dublin,DUB,Helvetic Airways,E290,False,2025-05-02 06:30:00,06:38,2025-05-02 06:38:00,8
Tenerife,TFS,Edelweiss Air,A320,False,2025-05-02 06:30:00,07:11,2025-05-02 07:11:00,41
Hurghada,HRG,Chair Airlines,A320,False,2025-05-02 06:30:00,06:44,2025-05-02 06:44:00,14
Edinburgh,EDI,Edelweiss Air,A320,False,2025-05-02 06:35:00,06:42,2025-05-02 06:42:00,7
Palma de Mallorca,PMI,Swiss,A321,False,2025-05-02 06:45:00,06:58,2025-05-02 06:58:00,13
Hurghada,HRG,Edelweiss Air,A320,False,2025-05-02 06:45:00,07:05,2025-05-02 07:05:00,20
Birmingham,BHX,Swiss,BCS3,False,2025-05-02 06:50:00,07:10,2025-05-02 07:10:00,20
Gdansk,GDN,Helvetic Airways,E190,False,2025-05-02 06:50:00,07:06,2025-05-02 07:06:00,16
Frankfurt,FRA,Helvetic Airways,E190,False,2025-05-02 06:55:00,07:08,2025-05-02 07:08:00,13
Kosice,KSC,Air Baltic,BCS3,False,2025-05-02 06:55:00,07:13,2025-05-02 07:13:00,18
Madrid,MAD,Helvetic Airways,E295,False,2025-05-02 06:55:00,07:35,2025-05-02 07:35:00,40
Belgrade,BEG,Swiss,BCS3,False,2025-05-02 06:55:00,07:16,2025-05-02 07:16:00,21
Amsterdam,AMS,KLM,B738,False,2025-05-02 07:00:00,07:23,2025-05-02 07:23:00,23
Tirana,TIA,Helvetic Airways,E290,False,2025-05-02 07:00:00,07:21,2025-05-02 07:21:00,21
Naples,NAP,Swiss,A320,False,2025-05-02 07:00:00,07:18,2025-05-02 07:18:00,18
Palermo,PMO,Swiss,A20N,False,2025-05-02 07:00:00,07:14,2025-05-02 07:14:00,14
London,LHR,Swiss,A21N,False,2025-05-02 07:05:00,07:27,2025-05-02 07:27:00,22
Warsaw,WAW,Helvetic Airways,E190,False,2025-05-02 07:05:00,07:19,2025-05-02 07:19:00,14
Manchester,MAN,Swiss,BCS3,False,2025-05-02 07:05:00,08:48,2025-05-02 08:48:00,103
Copenhagen,CPH,Swiss,A320,False,2025-05-02 07:10:00,07:25,2025-05-02 07:25:00,15
Barcelona,BCN,Swiss,A321,False,2025-05-02 07:10:00,07:37,2025-05-02 07:37:00,27
Budapest,BUD,Air Baltic,BCS3,False,2025-05-02 07:10:00,07:28,2025-05-02 07:28:00,18
London,LHR,British Airways,A20N,False,2025-05-02 07:15:00,07:32,2025-05-02 07:32:00,17
Hamburg,HAM,Helvetic Airways,E295,False,2025-05-02 07:15:00,07:30,2025-05-02 07:30:00,15
Munich,MUC,Edelweiss Air,A320,False,2025-05-02 07:15:00,07:33,2025-05-02 07:33:00,18
Krakow,KRK,Helvetic Airways,E195,False,2025-05-02 07:15:00,07:38,2025-05-02 07:38:00,23
Berlin,BER,Swiss,BCS1,False,2025-05-02 07:20:00,07:41,2025-05-02 07:41:00,21
Amsterdam,AMS,Swiss,A20N,False,2025-05-02 07:20:00,07:59,2025-05-02 07:59:00,39
Vienna,VIE,Swiss,A320,False,2025-05-02 07:20:00,07:44,2025-05-02 07:44:00,24
Rome,FCO,Swiss,A320,False,2025-05-02 07:20:00,07:40,2025-05-02 07:40:00,20
Paris,CDG,Swiss,A320,False,2025-05-02 07:25:00,07:46,2025-05-02 07:46:00,21
Brussels,BRU,Swiss,A320,False,2025-05-02 07:25:00,07:43,2025-05-02 07:43:00,18
Geneva,GVA,Swiss,A321,False,2025-05-02 07:25:00,07:53,2025-05-02 07:53:00,28
Madrid,MAD,Iberia,A20N,False,2025-05-02 07:30:00,07:49,2025-05-02 07:49:00,19
Nice,NCE,Swiss,BCS3,False,2025-05-02 07:30:00,07:56,2025-05-02 07:56:00,26
Dusseldorf,DUS,Helvetic Airways,E195,False,2025-05-02 07:30:00,07:47,2025-05-02 07:47:00,17
Sarajevo,SJJ,Helvetic Airways,E295,False,2025-05-02 07:30:00,07:54,2025-05-02 07:54:00,24
Istanbul,IST,Turkish Airlines,A321,False,2025-05-02 07:40:00,07:51,2025-05-02 07:51:00,11
Heraklion,HER,Chair Airlines,A319,False,2025-05-02 07:40:00,07:57,2025-05-02 07:57:00,17
Paris,CDG,Air France,BCS3,False,2025-05-02 07:45:00,08:01,2025-05-02 08:01:00,16
Prague,PRG,Helvetic Airways,E195,False,2025-05-02 07:50:00,08:03,2025-05-02 08:03:00,13
Frankfurt,FRA,Condor,A320,False,2025-05-02 08:00:00,08:13,2025-05-02 08:13:00,13
Cologne,CGN,Eurowings,A319,False,2025-05-02 08:05:00,08:15,2025-05-02 08:15:00,10
London,LCY,Swiss,BCS1,False,2025-05-02 08:10:00,08:20,2025-05-02 08:20:00,10
Berlin,BER,easyJet,A320,False,2025-05-02 08:10:00,08:29,2025-05-02 08:29:00,19
Frankfurt,FRA,Lufthansa,A319,False,2025-05-02 08:15:00,08:25,2025-05-02 08:25:00,10
Berlin,BER,Helvetic Airways,E190,False,2025-05-02 08:15:00,08:23,2025-05-02 08:23:00,8
Rome,FCO,easyJet,A319,False,2025-05-02 08:30:00,08:34,2025-05-02 08:34:00,4
Florence,FLR,Swiss,BCS1,False,2025-05-02 08:35:00,08:45,2025-05-02 08:45:00,10
Luxembourg,LUX,Air Baltic,BCS3,False,2025-05-02 08:40:00,08:54,2025-05-02 08:54:00,14
Thessaloniki,SKG,Swiss,A20N,False,2025-05-02 08:40:00,09:01,2025-05-02 09:01:00,21
Dusseldorf,DUS,Eurowings,A319,False,2025-05-02 08:45:00,09:08,2025-05-02 09:08:00,23
Venice,VCE,Helvetic Airways,E295,False,2025-05-02 08:45:00,08:59,2025-05-02 08:59:00,14
Bologna,BLQ,Helvetic Airways,E290,False,2025-05-02 08:45:00,08:52,2025-05-02 08:52:00,7
Berlin,BER,Eurowings,A320,False,2025-05-02 08:50:00,09:13,2025-05-02 09:13:00,23
Vienna,VIE,Austrian Airlines,A320,False,2025-05-02 08:50:00,09:20,2025-05-02 09:20:00,30
Taranto,TAR,Swiss Air,CL60,False,2025-05-02 08:50:00,08:42,2025-05-02 08:42:00,-8
Ljubljana,LJU,Helvetic Airways,E190,False,2025-05-02 08:55:00,09:09,2025-05-02 09:09:00,14
Milan,MXP,Air Baltic,BCS3,False,2025-05-02 09:00:00,09:11,2025-05-02 09:11:00,11
Brussels,BRU,Air Baltic,BCS3,False,2025-05-02 09:00:00,09:15,2025-05-02 09:15:00,15
Weeze,NRN,AXIS Aviation,F2TH,False,2025-05-02 09:00:00,08:57,2025-05-02 08:57:00,-3
London,BQH,Jung Sky,C25A,False,2025-05-02 09:00:00,09:06,2025-05-02 09:06:00,6
Hamburg,HAM,Eurowings,A319,False,2025-05-02 09:05:00,09:49,2025-05-02 09:49:00,44
Geneva,GVA,Swiss,A320,False,2025-05-02 09:10:00,09:48,2025-05-02 09:48:00,38
Thessaloniki,SKG,Aegean Airlines,A320,False,2025-05-02 09:15:00,09:30,2025-05-02 09:30:00,15
Alicante,ALC,Swiss,A20N,False,2025-05-02 09:15:00,09:24,2025-05-02 09:24:00,9
Hamburg,HAM,NetJets Europe,C68A,False,2025-05-02 09:15:00,09:25,2025-05-02 09:25:00,10
Amsterdam,AMS,KLM,B738,False,2025-05-02 09:20:00,09:47,2025-05-02 09:47:00,27
Chicago,ORD,Swiss,A333,False,2025-05-02 09:25:00,09:43,2025-05-02 09:43:00,18
Athens,ATH,Air Baltic,BCS3,False,2025-05-02 09:25:00,10:00,2025-05-02 10:00:00,35
Frankfurt,FRA,Air Dolomiti,E190,False,2025-05-02 09:30:00,09:31,2025-05-02 09:31:00,1
Belgrade,BEG,Getjet Airlines,A320,False,2025-05-02 09:30:00,10:03,2025-05-02 10:03:00,33
Stuttgart,STR,Swiss,BCS1,False,2025-05-02 09:30:00,09:42,2025-05-02 09:42:00,12
Munich,MUC,Helvetic Airways,E195,False,2025-05-02 09:30:00,09:34,2025-05-02 09:34:00,4
Malta,MLA,Swiss,A320,False,2025-05-02 09:35:00,09:40,2025-05-02 09:40:00,5
San Jose,SJO,Edelweiss Air,A343,False,2025-05-02 09:35:00,10:10,2025-05-02 10:10:00,35
Barcelona,BCN,Vueling,A320,False,2025-05-02 09:35:00,10:57,2025-05-02 10:57:00,82
Stockholm,ARN,Air Baltic,BCS3,False,2025-05-02 09:40:00,09:58,2025-05-02 09:58:00,18
Malaga,AGP,Swiss,A21N,False,2025-05-02 09:40:00,10:06,2025-05-02 10:06:00,26
Doha,DOH,Qatar Airways,A359,False,2025-05-02 09:40:00,10:15,2025-05-02 10:15:00,35
Antalya,AYT,SunExpress,B738,False,2025-05-02 09:40:00,10:05,2025-05-02 10:05:00,25
Mumbai,BOM,Swiss,A333,False,2025-05-02 09:45:00,10:00,2025-05-02 10:00:00,15
Porto,OPO,Swiss,A321,False,2025-05-02 09:45:00,10:08,2025-05-02 10:08:00,23
London,LHR,British Airways,A320,False,2025-05-02 09:50:00,09:54,2025-05-02 09:54:00,4
Miami,MIA,Swiss,A333,False,2025-05-02 09:50:00,10:09,2025-05-02 10:09:00,19
Chicago,ORD,United Airlines,B763,False,2025-05-02 09:50:00,09:56,2025-05-02 09:56:00,6
Toronto,YYZ,Swiss,A333,False,2025-05-02 09:55:00,10:21,2025-05-02 10:21:00,26
Antalya,AYT,Pegasus,A20N,False,2025-05-02 09:55:00,10:20,2025-05-02 10:20:00,25
Palma de Mallorca,PMI,easyJet,A319,False,2025-05-02 09:55:00,10:17,2025-05-02 10:17:00,22
Palma de Mallorca,PMI,Swiss,A21N,False,2025-05-02 10:00:00,10:18,2025-05-02 10:18:00,18
New York,JFK,Swiss,A333,False,2025-05-02 10:00:00,10:25,2025-05-02 10:25:00,25
London,LCY,British Airways,E190,False,2025-05-02 10:05:00,10:30,2025-05-02 10:30:00,25
Porto,OPO,easyJet,A320,False,2025-05-02 10:05:00,10:28,2025-05-02 10:28:00,23
Atlanta,ATL,Delta Air Lines,B763,False,2025-05-02 10:10:00,10:23,2025-05-02 10:23:00,13
New York,EWR,United Airlines,B763,False,2025-05-02 10:10:00,10:40,2025-05-02 10:40:00,30
Copenhagen,CPH,SAS,A319,False,2025-05-02 10:20:00,10:35,2025-05-02 10:35:00,15
Warsaw,WAW,LOT,E295,False,2025-05-02 10:30:00,10:48,2025-05-02 10:48:00,18
London,LHR,Swiss,A20N,False,2025-05-02 10:30:00,10:46,2025-05-02 10:46:00,16
Faro,FAO,easyJet,A319,False,2025-05-02 10:30:00,11:25,2025-05-02 11:25:00,55
Malaga,AGP,easyJet,A319,False,2025-05-02 10:35:00,11:58,2025-05-02 11:58:00,83
Sofia,SOF,Bulgaria Air,BCS1,False,2025-05-02 10:40:00,10:44,2025-05-02 10:44:00,4
Oslo,OSL,Helvetic Airways,E190,False,2025-05-02 10:40:00,11:14,2025-05-02 11:14:00,34
Vienna,VIE,Austrian Airlines,A320,False,2025-05-02 10:40:00,10:55,2025-05-02 10:55:00,15
Rome,FCO,ITA Airways,A20N,False,2025-05-02 10:45:00,11:09,2025-05-02 11:09:00,24
Lisbon,LIS,easyJet,A320,False,2025-05-02 10:45:00,11:32,2025-05-02 11:32:00,47
Dublin,DUB,Swiss,A20N,False,2025-05-02 10:50:00,10:59,2025-05-02 10:59:00,9
Istanbul,IST,Turkish Airlines,A333,False,2025-05-02 10:50:00,11:01,2025-05-02 11:01:00,11
London,LGW,easyJet,A320,False,2025-05-02 10:50:00,11:22,2025-05-02 11:22:00,32
Palma de Mallorca,PMI,Edelweiss Air,A320,False,2025-05-02 11:05:00,11:27,2025-05-02 11:27:00,22
Heraklion,HER,Aegean Airlines,A320,False,2025-05-02 11:10:00,11:28,2025-05-02 11:28:00,18
Palma de Mallorca,PMI,Eurowings,A320,False,2025-05-02 11:10:00,11:43,2025-05-02 11:43:00,33
Madrid,MAD,Air Europa,B738,False,2025-05-02 11:10:00,12:04,2025-05-02 12:04:00,54
Athens,ATH,Aegean Airlines,A20N,False,2025-05-02 11:15:00,11:45,2025-05-02 11:45:00,30
Dublin,DUB,Aer Lingus,A320,False,2025-05-02 11:15:00,11:30,2025-05-02 11:30:00,15
Abu Dhabi,AUH,Etihad Airways,B789,False,2025-05-02 11:15:00,11:42,2025-05-02 11:42:00,27
Paris,CDG,Air France,BCS3,False,2025-05-02 11:20:00,11:37,2025-05-02 11:37:00,17
Frankfurt,FRA,Lufthansa,A319,False,2025-05-02 11:20:00,12:02,2025-05-02 12:02:00,42
Bahrain,BAH,VistaJet,E35L,False,2025-05-02 11:25:00,11:53,2025-05-02 11:53:00,28
Tel Aviv,TLV,El Al,B738,False,2025-05-02 11:30:00,12:37,2025-05-02 12:37:00,67
Palma de Mallorca,PMI,Chair Airlines,A320,False,2025-05-02 11:30:00,12:01,2025-05-02 12:01:00,31
Istanbul,SAW,Pegasus,A21N,False,2025-05-02 11:35:00,11:49,2025-05-02 11:49:00,14
Istanbul,SAW,BBN Airlines,A321,False,2025-05-02 11:40:00,11:59,2025-05-02 11:59:00,19
Marrakesh,RAK,Edelweiss Air,A320,False,2025-05-02 11:40:00,12:06,2025-05-02 12:06:00,26
Philadelphia,PHL,American Airlines,B788,False,2025-05-02 11:45:00,11:51,2025-05-02 11:51:00,6
Zagreb,ZAG,Croatia Airlines,DH8D,False,2025-05-02 11:45:00,11:55,2025-05-02 11:55:00,10
Singapore,SIN,Singapore Airlines,B77W,False,2025-05-02 11:45:00,12:05,2025-05-02 12:05:00,20
Madrid,MAD,Iberia,A20N,False,2025-05-02 11:50:00,12:43,2025-05-02 12:43:00,53
Amsterdam,AMS,KLM,B738,False,2025-05-02 11:50:00,12:28,2025-05-02 12:28:00,38
Tel Aviv,TLV,Swiss,A333,False,2025-05-02 11:50:00,12:13,2025-05-02 12:13:00,23
London,LCY,Swiss,BCS1,False,2025-05-02 11:50:00,12:30,2025-05-02 12:30:00,40
Geneva,GVA,Swiss,BCS3,False,2025-05-02 11:55:00,12:15,2025-05-02 12:15:00,20
Washington,IAD,United Airlines,B763,False,2025-05-02 11:55:00,12:55,2025-05-02 12:55:00,60
Kalamata,KLX,Edelweiss Air,A320,False,2025-05-02 11:55:00,12:16,2025-05-02 12:16:00,21
Gothenburg,GOT,Helvetic Airways,E195,False,2025-05-02 12:00:00,12:11,2025-05-02 12:11:00,11
Palermo,PMO,Swiss,A321,False,2025-05-02 12:00:00,12:18,2025-05-02 12:18:00,18
Bucharest,OTP,Air Baltic,BCS3,False,2025-05-02 12:00:00,12:07,2025-05-02 12:07:00,7
London,LHR,Swiss,BCS3,False,2025-05-02 12:05:00,12:25,2025-05-02 12:25:00,20
Brindisi,BDS,Swiss,A320,False,2025-05-02 12:05:00,12:47,2025-05-02 12:47:00,42
