DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Larnaca,LCA,Edelweiss Air,A320,False,2025-04-28 05:45:00,06:02,2025-04-28 06:02:00,17
Pristina,PRN,Chair Airlines,A319,False,2025-04-28 05:45:00,06:00,2025-04-28 06:00:00,15
Hurghada,HRG,Edelweiss Air,A320,False,2025-04-28 06:00:00,06:11,2025-04-28 06:11:00,11
Heraklion,HER,Edelweiss Air,A320,False,2025-04-28 06:00:00,06:09,2025-04-28 06:09:00,9
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-04-28 06:10:00,06:40,2025-04-28 06:40:00,30
Antalya,AYT,Edelweiss Air,A320,False,2025-04-28 06:10:00,06:20,2025-04-28 06:20:00,10
Lisbon,LIS,TAP Air Portugal,A21N,False,2025-04-28 06:20:00,06:47,2025-04-28 06:47:00,27
Tenerife,TFS,Edelweiss Air,A320,False,2025-04-28 06:20:00,06:43,2025-04-28 06:43:00,23
Marrakesh,RAK,Edelweiss Air,A320,False,2025-04-28 06:25:00,06:35,2025-04-28 06:35:00,10
Olbia,OLB,Edelweiss Air,A320,False,2025-04-28 06:25:00,06:45,2025-04-28 06:45:00,20
Pristina,PRN,Edelweiss Air,A359,False,2025-04-28 06:30:00,06:38,2025-04-28 06:38:00,8
Oslo,OSL,NetJets Europe,E55P,False,2025-04-28 06:30:00,06:42,2025-04-28 06:42:00,12
Oberpfaffenhofen,OBF,NetJets Europe,C68A,False,2025-04-28 06:30:00,06:49,2025-04-28 06:49:00,19
Bilbao,BIO,Edelweiss Air,A320,False,2025-04-28 06:45:00,07:02,2025-04-28 07:02:00,17
Funchal,FNC,Edelweiss Air,A320,False,2025-04-28 06:45:00,07:00,2025-04-28 07:00:00,15
Hurghada,HRG,Chair Airlines,A320,False,2025-04-28 06:45:00,06:52,2025-04-28 06:52:00,7
Brindisi,BDS,Swiss,A320,False,2025-04-28 06:50:00,07:17,2025-04-28 07:17:00,27
Palma de Mallorca,PMI,Swiss,A321,False,2025-04-28 06:50:00,07:11,2025-04-28 07:11:00,21
London,LCY,Swiss,BCS1,False,2025-04-28 06:55:00,07:34,2025-04-28 07:34:00,39
Frankfurt,FRA,Helvetic Airways,E190,False,2025-04-28 06:55:00,07:06,2025-04-28 07:06:00,11
Belgrade,BEG,Swiss,BCS3,False,2025-04-28 06:55:00,07:14,2025-04-28 07:14:00,19
Madrid,MAD,Helvetic Airways,E295,False,2025-04-28 06:55:00,07:13,2025-04-28 07:13:00,18
Amsterdam,AMS,KLM,B739,False,2025-04-28 07:00:00,07:26,2025-04-28 07:26:00,26
Birmingham,BHX,Helvetic Airways,E195,False,2025-04-28 07:00:00,07:46,2025-04-28 07:46:00,46
Krakow,KRK,Air Baltic,BCS3,False,2025-04-28 07:00:00,07:09,2025-04-28 07:09:00,9
London,LHR,Swiss,A21N,False,2025-04-28 07:05:00,07:37,2025-04-28 07:37:00,32
Manchester,MAN,Helvetic Airways,E290,False,2025-04-28 07:05:00,07:38,2025-04-28 07:38:00,33
Warsaw,WAW,Helvetic Airways,E295,False,2025-04-28 07:05:00,07:20,2025-04-28 07:20:00,15
Naples,NAP,Swiss,A320,False,2025-04-28 07:05:00,07:19,2025-04-28 07:19:00,14
Gothenburg,GOT,Helvetic Airways,E290,False,2025-04-28 07:10:00,07:22,2025-04-28 07:22:00,12
Copenhagen,CPH,Helvetic Airways,E295,False,2025-04-28 07:10:00,07:28,2025-04-28 07:28:00,18
Barcelona,BCN,Swiss,A21N,False,2025-04-28 07:10:00,07:33,2025-04-28 07:33:00,23
Budapest,BUD,Air Baltic,BCS3,False,2025-04-28 07:10:00,07:25,2025-04-28 07:25:00,15
London,LHR,British Airways,A320,False,2025-04-28 07:15:00,07:31,2025-04-28 07:31:00,16
Hamburg,HAM,Swiss,BCS1,False,2025-04-28 07:15:00,07:35,2025-04-28 07:35:00,20
Munich,MUC,Swiss,A321,False,2025-04-28 07:15:00,07:41,2025-04-28 07:41:00,26
Amsterdam,AMS,Swiss,A20N,False,2025-04-28 07:20:00,07:48,2025-04-28 07:48:00,28
Berlin,BER,Swiss,A321,False,2025-04-28 07:20:00,07:52,2025-04-28 07:52:00,32
Vienna,VIE,Swiss,A320,False,2025-04-28 07:20:00,07:44,2025-04-28 07:44:00,24
Rome,FCO,Swiss,A321,False,2025-04-28 07:20:00,07:42,2025-04-28 07:42:00,22
Paris,CDG,Swiss,A320,False,2025-04-28 07:25:00,08:00,2025-04-28 08:00:00,35
Brussels,BRU,Swiss,A21N,False,2025-04-28 07:25:00,07:49,2025-04-28 07:49:00,24
Geneva,GVA,Swiss,A320,False,2025-04-28 07:25:00,08:08,2025-04-28 08:08:00,43
Madrid,MAD,Iberia,A20N,False,2025-04-28 07:30:00,08:04,2025-04-28 08:04:00,34
Nice,NCE,Swiss,BCS1,False,2025-04-28 07:30:00,07:54,2025-04-28 07:54:00,24
Dusseldorf,DUS,Helvetic Airways,E195,False,2025-04-28 07:30:00,08:11,2025-04-28 08:11:00,41
Ponta Delgada,PDL,Edelweiss Air,A320,False,2025-04-28 07:30:00,07:51,2025-04-28 07:51:00,21
Dresden,DRS,Helvetic Airways,E190,False,2025-04-28 07:35:00,07:57,2025-04-28 07:57:00,22
Wroclaw,WRO,Air Baltic,BCS3,False,2025-04-28 07:35:00,08:14,2025-04-28 08:14:00,39
Hurghada,HRG,Edelweiss Air,A320,False,2025-04-28 07:35:00,07:55,2025-04-28 07:55:00,20
Hannover,HAJ,Helvetic Airways,E195,False,2025-04-28 07:40:00,08:09,2025-04-28 08:09:00,29
Bremen,BRE,Helvetic Airways,E190,False,2025-04-28 07:40:00,08:01,2025-04-28 08:01:00,21
Istanbul,IST,Turkish Airlines,A321,False,2025-04-28 07:40:00,08:06,2025-04-28 08:06:00,26
Paris,CDG,Air France,BCS3,False,2025-04-28 07:45:00,08:13,2025-04-28 08:13:00,28
Prague,PRG,Swiss,A321,False,2025-04-28 07:50:00,08:17,2025-04-28 08:17:00,27
Frankfurt,FRA,Condor,A320,False,2025-04-28 08:00:00,08:19,2025-04-28 08:19:00,19
Salzburg,SZG,Flexjet,E550,False,2025-04-28 08:00:00,07:59,2025-04-28 07:59:00,-1
Paris,LBG,NetJets Europe,C68A,False,2025-04-28 08:00:00,08:23,2025-04-28 08:23:00,23
Cologne,CGN,Eurowings,A320,False,2025-04-28 08:05:00,08:20,2025-04-28 08:20:00,15
London,LCY,Helvetic Airways,E290,False,2025-04-28 08:10:00,08:25,2025-04-28 08:25:00,15
Berlin,BER,easyJet,A320,False,2025-04-28 08:10:00,08:24,2025-04-28 08:24:00,14
Frankfurt,FRA,Lufthansa,A319,False,2025-04-28 08:15:00,08:35,2025-04-28 08:35:00,20
Berlin,BER,Swiss,BCS3,False,2025-04-28 08:15:00,08:27,2025-04-28 08:27:00,12
Hamburg,HAM,Air Baltic,BCS3,False,2025-04-28 08:30:00,08:51,2025-04-28 08:51:00,21
Rome,FCO,easyJet,A319,False,2025-04-28 08:30:00,08:34,2025-04-28 08:34:00,4
Naples,NAP,easyJet,A20N,False,2025-04-28 08:30:00,08:41,2025-04-28 08:41:00,11
Florence,FLR,Helvetic Airways,E295,False,2025-04-28 08:35:00,08:56,2025-04-28 08:56:00,21
Ljubljana,LJU,NetJets Europe,E55P,False,2025-04-28 08:35:00,08:39,2025-04-28 08:39:00,4
Luxembourg,LUX,Air Baltic,BCS3,False,2025-04-28 08:40:00,08:54,2025-04-28 08:54:00,14
Dusseldorf,DUS,Eurowings,A320,False,2025-04-28 08:45:00,09:30,2025-04-28 09:30:00,45
Venice,VCE,Helvetic Airways,E190,False,2025-04-28 08:45:00,08:52,2025-04-28 08:52:00,7
Bologna,BLQ,Swiss,BCS1,False,2025-04-28 08:45:00,09:06,2025-04-28 09:06:00,21
Vienna,VIE,Austrian Airlines,A320,False,2025-04-28 08:50:00,09:12,2025-04-28 09:12:00,22
Nevsehir,NAV,Swiss Air,CL60,False,2025-04-28 08:50:00,09:19,2025-04-28 09:19:00,29
Ljubljana,LJU,Swiss,A320,False,2025-04-28 08:55:00,09:07,2025-04-28 09:07:00,12
Vienna,VIE,Fly 7,PC12,False,2025-04-28 08:55:00,09:03,2025-04-28 09:03:00,8
Graz,GRZ,Swiss,BCS3,False,2025-04-28 09:00:00,09:10,2025-04-28 09:10:00,10
Milan,MXP,Swiss,A320,False,2025-04-28 09:00:00,09:18,2025-04-28 09:18:00,18
Brussels,BRU,Air Baltic,BCS3,False,2025-04-28 09:00:00,09:09,2025-04-28 09:09:00,9
La Rochelle,LRH,Jetfly Aviation,PC12,False,2025-04-28 09:00:00,09:14,2025-04-28 09:14:00,14
Hamburg,HAM,Eurowings,A320,False,2025-04-28 09:05:00,09:16,2025-04-28 09:16:00,11
Berlin,BER,Eurowings,A20N,False,2025-04-28 09:05:00,09:21,2025-04-28 09:21:00,16
Geneva,GVA,Swiss,A320,False,2025-04-28 09:10:00,09:32,2025-04-28 09:32:00,22
Thessaloniki,SKG,Aegean Airlines,A320,False,2025-04-28 09:15:00,10:52,2025-04-28 10:52:00,97
Amsterdam,AMS,KLM,E190,False,2025-04-28 09:20:00,09:58,2025-04-28 09:58:00,38
Alicante,ALC,Swiss,BCS3,False,2025-04-28 09:20:00,09:46,2025-04-28 09:46:00,26
