time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2025-04-28 00:00:00,9.9,8.3,90,0,,293,2,15,1024.8,,2
2025-04-28 01:00:00,8.4,8,97,0,,276,5,9,1025,,2
2025-04-28 02:00:00,8.2,7.8,97,0,,283,7,13,1024.8,,2
2025-04-28 03:00:00,7.8,7,95,0,,304,3,7,1024.7,,5
2025-04-28 04:00:00,5.8,5.5,98,0,,306,4,6,1025.1,,5
2025-04-28 05:00:00,5.4,5.3,99,0,,309,6,9.3,1025.3,,5
2025-04-28 06:00:00,6.4,6,97,0,,192,3,8,1025.2,,5
2025-04-28 07:00:00,6.8,6.2,96,0,,293,4,6,1025.6,,5
2025-04-28 08:00:00,9.3,8.2,93,0,0,343,7,7.4,1025.5,,2
2025-04-28 09:00:00,11.9,9.3,84,0,,322,6,11,1025.2,,2
2025-04-28 10:00:00,13.8,8.8,72,0,,15,6,14,1024.7,,2
2025-04-28 11:00:00,16.1,9.3,64,0,,346,8,16.7,1024,,2
2025-04-28 12:00:00,18.7,10.8,60,0,,55,15,26,1023.3,,3
2025-04-28 13:00:00,19.5,8.8,50,0,,49,17,27,1022.6,,3
2025-04-28 14:00:00,20.4,9,48,0,,57,15,22.2,1022.1,,3
2025-04-28 15:00:00,20.7,8.7,46,0,,60,14,28,1021.8,,3
2025-04-28 16:00:00,21.6,9.5,46,0,,11,15,26,1021.2,,3
2025-04-28 17:00:00,21.6,8.1,42,0,,46,12,24.1,1020.8,,2
2025-04-28 18:00:00,22.1,7.5,39,0,,56,9,21,1020.6,,2
2025-04-28 19:00:00,21.1,7.3,41,0,,89,17,23,1020.8,,2
2025-04-28 20:00:00,20.4,7.7,44,0,0,78,9,18.5,1020.9,,2
2025-04-28 21:00:00,17.8,9.4,58,0,,49,6,13,1021.9,,2
2025-04-28 22:00:00,17.6,9,57,0,,54,13,18,1022.5,,2
2025-04-28 23:00:00,15.5,9.6,68,0,,258,5,13,1023.2,,2
2025-04-29 00:00:00,13.1,9.9,81,0,,318,6,11,1024,,2
2025-04-29 01:00:00,10.9,9.3,90,0,,307,8,11,1024.5,,2
2025-04-29 02:00:00,8.7,7.8,94,0,,6,3,9.3,1024.7,,2
2025-04-29 03:00:00,9.6,8.2,91,0,,338,4,6,1024.3,,2
2025-04-29 04:00:00,9.1,7.9,92,0,,335,4,8,1024.2,,2
