DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Alicante,ALC,easyJet,A319,2025-04-28 10:00:00,10:14,2025-04-28 10:14:00,14,2,13.8,3,98,2
Palma de Mallorca,PMI,Swiss,A320,2025-04-28 10:00:00,10:11,2025-04-28 10:11:00,11,2,13.8,125,88,3
New York,JFK,Swiss,A333,2025-04-28 10:00:00,10:28,2025-04-28 10:28:00,28,2,13.8,115,88,6
London,LGW,easyJet,A319,2025-04-28 10:25:00,10:43,2025-04-28 10:43:00,18,2,13.8,92,98,2
Cluj-Napoca,CLJ,Helvetic Airways,E190,2025-04-28 11:35:00,11:51,2025-04-28 11:51:00,16,2,16.1,42,57,41
Singapore,SIN,Singapore Airlines,B77W,2025-04-28 11:45:00,12:08,2025-04-28 12:08:00,23,2,16.1,153,83,20
Istanbul,SAW,Pegasus,A21N,2025-04-28 11:35:00,12:18,2025-04-28 12:18:00,43,2,16.1,76,76,1
Philadelphia,PHL,American Airlines,B788,2025-04-28 11:45:00,11:58,2025-04-28 11:58:00,13,2,16.1,127,17,21
Zagreb,ZAG,Croatia Airlines,DH8D,2025-04-28 11:45:00,11:54,2025-04-28 11:54:00,9,2,16.1,181,31,39
Madrid,MAD,Iberia,A319,2025-04-28 11:50:00,11:53,2025-04-28 11:53:00,3,2,16.1,97,59,2
Washington,IAD,United Airlines,B763,2025-04-28 11:55:00,12:23,2025-04-28 12:23:00,28,2,16.1,178,94,16
Tel Aviv,TLV,Swiss,A333,2025-04-28 11:50:00,12:31,2025-04-28 12:31:00,41,2,16.1,165,88,6
London,LCY,Swiss,BCS1,2025-04-28 11:50:00,12:05,2025-04-28 12:05:00,15,2,16.1,92,88,23
Manchester,MAN,Air Baltic,BCS3,2025-04-28 11:55:00,12:21,2025-04-28 12:21:00,26,2,16.1,101,5,24
Geneva,GVA,Swiss,BCS1,2025-04-28 11:55:00,12:17,2025-04-28 12:17:00,22,2,16.1,65,88,23
Palma de Mallorca,PMI,Chair Airlines,A319,2025-04-28 11:30:00,11:48,2025-04-28 11:48:00,18,2,16.1,125,26,2
Amsterdam,AMS,KLM,B738,2025-04-28 11:50:00,12:33,2025-04-28 12:33:00,43,2,16.1,5,65,14
Sofia,SOF,Swiss,BCS3,2025-04-28 11:30:00,11:46,2025-04-28 11:46:00,16,2,16.1,155,88,24
Luxor,LXR,Edelweiss Air,A320,2025-04-28 11:05:00,11:26,2025-04-28 11:26:00,21,2,16.1,96,34,3
Bucharest,OTP,NetJets Europe,C68A,2025-04-28 11:25:00,11:19,2025-04-28 11:19:00,-6,2,16.1,33,73,32
Palma de Mallorca,PMI,Eurowings,A320,2025-04-28 11:30:00,11:44,2025-04-28 11:44:00,14,2,16.1,125,45,3
Bristol,BRS,Arcus Air,E50P,2025-04-28 11:00:00,11:33,2025-04-28 11:33:00,33,2,16.1,30,18,46
London,STN,NetJets,GLEX,2025-04-28 11:00:00,11:21,2025-04-28 11:21:00,21,2,16.1,92,72,50
Venice,VCE,Qatar Executive,GLF6,2025-04-28 11:00:00,10:48,2025-04-28 10:48:00,-12,2,16.1,174,78,51
Madrid,MAD,Air Europa,B738,2025-04-28 11:10:00,11:16,2025-04-28 11:16:00,6,2,16.1,97,9,14
Frankfurt,FRA,Lufthansa,A20N,2025-04-28 11:05:00,11:30,2025-04-28 11:30:00,25,2,16.1,61,69,0
Dublin,DUB,Aer Lingus,A320,2025-04-28 11:15:00,11:28,2025-04-28 11:28:00,13,2,16.1,53,3,3
Abu Dhabi,AUH,Etihad Airways,B789,2025-04-28 11:15:00,11:23,2025-04-28 11:23:00,8,2,16.1,0,41,22
Paris,CDG,Air France,BCS3,2025-04-28 11:20:00,11:35,2025-04-28 11:35:00,15,2,16.1,126,10,24
Istanbul,SAW,AJet,B738,2025-04-28 11:20:00,11:42,2025-04-28 11:42:00,22,2,16.1,76,0,14
Lisbon,LIS,easyJet,A21N,2025-04-28 11:25:00,11:40,2025-04-28 11:40:00,15,2,16.1,90,98,1
Athens,ATH,Aegean Airlines,A320,2025-04-28 11:15:00,11:36,2025-04-28 11:36:00,21,2,16.1,8,2,3
Stuttgart,STR,Helvetic Airways,E195,2025-04-28 12:25:00,14:09,2025-04-28 14:09:00,104,3,18.7,158,57,42
Amsterdam,AMS,Swiss,BCS3,2025-04-28 12:30:00,12:56,2025-04-28 12:56:00,26,3,18.7,5,88,24
Vienna,VIE,Swiss,A320,2025-04-28 12:25:00,13:07,2025-04-28 13:07:00,42,3,18.7,175,88,3
Budapest,BUD,Air Baltic,BCS3,2025-04-28 12:25:00,12:53,2025-04-28 12:53:00,28,3,18.7,34,5,24
Dubai,DXB,Swiss,B77W,2025-04-28 12:30:00,12:58,2025-04-28 12:58:00,28,3,18.7,52,88,20
Copenhagen,CPH,Swiss,A320,2025-04-28 12:30:00,13:28,2025-04-28 13:28:00,58,3,18.7,45,88,3
Luxembourg,LUX,Helvetic Airways,E290,2025-04-28 12:40:00,13:08,2025-04-28 13:08:00,28,3,18.7,95,57,43
Hannover,HAJ,Helvetic Airways,E190,2025-04-28 12:35:00,12:52,2025-04-28 12:52:00,17,3,18.7,70,57,41
Hamburg,HAM,Swiss,A320,2025-04-28 12:35:00,13:16,2025-04-28 13:16:00,41,3,18.7,69,88,3
Prague,PRG,Swiss,BCS1,2025-04-28 12:35:00,13:10,2025-04-28 13:10:00,35,3,18.7,133,88,23
Montreal,YUL,Swiss,A333,2025-04-28 12:40:00,13:02,2025-04-28 13:02:00,22,3,18.7,109,88,6
Nice,NCE,Helvetic Airways,E290,2025-04-28 12:25:00,13:48,2025-04-28 13:48:00,83,3,18.7,116,57,43
Berlin,BER,Swiss,A321,2025-04-28 12:40:00,13:25,2025-04-28 13:25:00,45,3,18.7,18,88,4
Tel Aviv,TLV,El Al,B739,2025-04-28 12:30:00,13:21,2025-04-28 13:21:00,51,3,18.7,165,36,15
Barcelona,BCN,Swiss,A321,2025-04-28 12:20:00,12:46,2025-04-28 12:46:00,26,3,18.7,13,88,4
Cairo,CAI,Swiss,A21N,2025-04-28 12:10:00,12:26,2025-04-28 12:26:00,16,3,18.7,36,88,1
Stockholm,ARN,Swiss,A20N,2025-04-28 12:20:00,12:54,2025-04-28 12:54:00,34,3,18.7,157,88,0
Warsaw,WAW,Helvetic Airways,E190,2025-04-28 12:15:00,12:38,2025-04-28 12:38:00,23,3,18.7,177,57,41
Belgrade,BEG,Swiss,A320,2025-04-28 12:15:00,12:40,2025-04-28 12:40:00,25,3,18.7,16,88,3
Marseille,MRS,Helvetic Airways,E295,2025-04-28 12:15:00,12:37,2025-04-28 12:37:00,22,3,18.7,105,57,44
Palma de Mallorca,PMI,Swiss,A320,2025-04-28 12:10:00,12:20,2025-04-28 12:20:00,10,3,18.7,125,88,3
Delhi,DEL,Swiss,A333,2025-04-28 12:10:00,12:35,2025-04-28 12:35:00,25,3,18.7,48,88,6
Athens,ATH,Swiss,A20N,2025-04-28 12:05:00,12:43,2025-04-28 12:43:00,38,3,18.7,8,88,0
Valencia,VLC,Swiss,A321,2025-04-28 12:05:00,13:43,2025-04-28 13:43:00,98,3,18.7,173,88,4
Bordeaux,BOD,Helvetic Airways,E195,2025-04-28 12:05:00,12:15,2025-04-28 12:15:00,10,3,18.7,26,57,42
London,LHR,Swiss,BCS3,2025-04-28 12:05:00,12:42,2025-04-28 12:42:00,37,3,18.7,92,88,24
Palermo,PMO,Swiss,A321,2025-04-28 12:00:00,12:28,2025-04-28 12:28:00,28,3,18.7,124,88,4
Bucharest,OTP,Air Baltic,BCS3,2025-04-28 12:00:00,12:29,2025-04-28 12:29:00,29,3,18.7,33,5,24
Gothenburg,GOT,Helvetic Airways,E195,2025-04-28 12:00:00,12:13,2025-04-28 12:13:00,13,3,18.7,66,57,42
Paris,CDG,Air Baltic,BCS3,2025-04-28 12:45:00,13:05,2025-04-28 13:05:00,20,3,18.7,126,5,24
Naples,NAP,Swiss,A320,2025-04-28 12:20:00,12:45,2025-04-28 12:45:00,25,3,18.7,113,88,3
Dusseldorf,DUS,Helvetic Airways,E290,2025-04-28 12:45:00,13:22,2025-04-28 13:22:00,37,3,18.7,55,57,43
Florence,FLR,Helvetic Airways,E295,2025-04-28 12:55:00,13:11,2025-04-28 13:11:00,16,3,18.7,60,57,44
Rome,FCO,Air Baltic,BCS3,2025-04-28 12:45:00,13:58,2025-04-28 13:58:00,73,3,18.7,142,5,24
Geneva,GVA,Swiss,BCS3,2025-04-28 12:55:00,13:24,2025-04-28 13:24:00,29,3,18.7,65,88,24
Brussels,BRU,Swiss,BCS3,2025-04-28 12:55:00,13:42,2025-04-28 13:42:00,47,3,18.7,32,88,24
Venice,VCE,Swiss,BCS1,2025-04-28 12:45:00,13:04,2025-04-28 13:04:00,19,3,18.7,174,88,23
Washington,IAD,Swiss,A333,2025-04-28 12:50:00,13:13,2025-04-28 13:13:00,23,3,18.7,178,88,6
Frankfurt,FRA,Helvetic Airways,E290,2025-04-28 12:50:00,13:19,2025-04-28 13:19:00,29,3,18.7,61,57,43
New York,JFK,Delta Air Lines,B764,2025-04-28 13:35:00,14:18,2025-04-28 14:18:00,43,3,19.5,115,33,17
Berlin,BER,Swiss,BCS3,2025-04-28 13:35:00,13:50,2025-04-28 13:50:00,15,3,19.5,18,88,24
Ostrava,OSR,My Freighter,B763,2025-04-28 13:30:00,15:14,2025-04-28 15:14:00,104,3,19.5,123,71,16
Hong Kong,HKG,Cathay Pacific,A359,2025-04-28 13:30:00,14:04,2025-04-28 14:04:00,34,3,19.5,73,25,8
Toronto,YYZ,Air Canada,B77L,2025-04-28 13:25:00,13:31,2025-04-28 13:31:00,6,3,19.5,170,7,19
Shanghai,PVG,Swiss,A343,2025-04-28 13:20:00,14:07,2025-04-28 14:07:00,47,3,19.5,151,88,7
London,LHR,British Airways,A21N,2025-04-28 13:20:00,13:37,2025-04-28 13:37:00,17,3,19.5,92,22,1
Funchal,FNC,Edelweiss Air,A320,2025-04-28 13:15:00,14:02,2025-04-28 14:02:00,47,3,19.5,63,34,3
Munich,MUC,Helvetic Airways,E295,2025-04-28 13:15:00,13:38,2025-04-28 13:38:00,23,3,19.5,111,57,44
Bangkok,BKK,Thai Airways,B77W,2025-04-28 13:30:00,13:56,2025-04-28 13:56:00,26,3,19.5,12,91,20
San Jose,SJO,Edelweiss Air,A343,2025-04-28 13:10:00,13:54,2025-04-28 13:54:00,44,3,19.5,146,34,7
Malaga,AGP,Swiss,A320,2025-04-28 13:10:00,13:49,2025-04-28 13:49:00,39,3,19.5,98,88,3
San Francisco,SFO,Swiss,B77W,2025-04-28 13:10:00,13:34,2025-04-28 13:34:00,24,3,19.5,145,88,20
Milan,MXP,Helvetic Airways,E295,2025-04-28 13:05:00,13:30,2025-04-28 13:30:00,25,3,19.5,108,57,44
Miami,MIA,Swiss,B77W,2025-04-28 13:05:00,13:39,2025-04-28 13:39:00,34,3,19.5,107,88,20
Los Angeles,LAX,Swiss,B77W,2025-04-28 13:05:00,13:32,2025-04-28 13:32:00,27,3,19.5,93,88,20
Chicago,ORD,Swiss,A333,2025-04-28 13:05:00,13:44,2025-04-28 13:44:00,39,3,19.5,41,88,6
Ibiza,IBZ,Edelweiss Air,A320,2025-04-28 13:00:00,13:27,2025-04-28 13:27:00,27,3,19.5,75,34,3
Tokyo,NRT,Swiss,B77W,2025-04-28 13:00:00,13:14,2025-04-28 13:14:00,14,3,19.5,169,88,20
New York,JFK,Swiss,A333,2025-04-28 13:15:00,14:06,2025-04-28 14:06:00,51,3,19.5,115,88,6
Izmir,ADB,SunExpress,B738,2025-04-28 14:55:00,15:29,2025-04-28 15:29:00,34,3,20.4,77,87,14
Kos,KGS,Edelweiss Air,A320,2025-04-28 14:55:00,15:23,2025-04-28 15:23:00,28,3,20.4,82,34,3
Cairo,CAI,Egyptair,B738,2025-04-28 14:55:00,15:25,2025-04-28 15:25:00,30,3,20.4,36,35,14
London,LCY,British Airways,E190,2025-04-28 14:55:00,15:05,2025-04-28 15:05:00,10,3,20.4,92,22,41
Madrid,MAD,Iberia,A20N,2025-04-28 14:45:00,15:58,2025-04-28 15:58:00,73,3,20.4,97,59,0
Frankfurt,FRA,CityJet,CRJX,2025-04-28 14:40:00,15:20,2025-04-28 15:20:00,40,3,20.4,61,27,38
Cologne,CGN,Eurowings,B738,2025-04-28 14:30:00,14:44,2025-04-28 14:44:00,14,3,20.4,43,45,14
Belgrade,BEG,Getjet Airlines,A320,2025-04-28 14:35:00,14:42,2025-04-28 14:42:00,7,3,20.4,16,54,3
Amsterdam,AMS,KLM,E190,2025-04-28 14:20:00,14:37,2025-04-28 14:37:00,17,3,20.4,5,65,41
Farnborough,FAB,Flexjet,E550,2025-04-28 14:00:00,14:17,2025-04-28 14:17:00,17,3,20.4,58,48,47
Palma de Mallorca,PMI,Edelweiss Air,A359,2025-04-28 14:00:00,14:23,2025-04-28 14:23:00,23,3,20.4,125,34,8
Oslo,OSL,SAS,A20N,2025-04-28 14:00:00,14:13,2025-04-28 14:13:00,13,3,20.4,122,80,0
Palma de Mallorca,PMI,Swiss,A20N,2025-04-28 15:35:00,16:06,2025-04-28 16:06:00,31,3,20.7,125,88,0
Porto,OPO,TAP Air Portugal,A320,2025-04-28 15:45:00,17:51,2025-04-28 17:51:00,126,3,20.7,132,90,3
Dusseldorf,DUS,Eurowings,A319,2025-04-28 15:40:00,15:45,2025-04-28 15:45:00,5,3,20.7,55,45,2
Heraklion,HER,Enter Air,B738,2025-04-28 15:35:00,18:08,2025-04-28 18:08:00,153,3,20.7,72,39,14
Barcelona,BCN,Vueling,A321,2025-04-28 15:35:00,16:15,2025-04-28 16:15:00,40,3,20.7,13,96,4
Hamburg,HAM,Eurowings,A319,2025-04-28 15:55:00,16:04,2025-04-28 16:04:00,9,3,20.7,69,45,2
Salzburg,SZG,Fly Tyrol,C56X,2025-04-28 15:55:00,15:52,2025-04-28 15:52:00,-3,3,20.7,144,50,30
Dubai,DXB,Emirates,A388,2025-04-28 15:25:00,15:42,2025-04-28 15:42:00,17,3,20.7,52,38,10
Riyadh,RUH,Saudia,A320,2025-04-28 15:20:00,15:28,2025-04-28 15:28:00,8,3,20.7,141,81,3
Brindisi,BDS,NetJets Europe,C56X,2025-04-28 15:05:00,15:07,2025-04-28 15:07:00,2,3,20.7,29,73,30
Vienna,VIE,Air Baltic,BCS3,2025-04-28 15:05:00,15:09,2025-04-28 15:09:00,4,3,20.7,175,5,24
Catania,CTA,Edelweiss Air,A320,2025-04-28 15:00:00,15:17,2025-04-28 15:17:00,17,3,20.7,40,34,3
Istanbul,IST,Turkish Airlines,A321,2025-04-28 15:00:00,15:12,2025-04-28 15:12:00,12,3,20.7,76,93,4
London,LHR,Swiss,BCS3,2025-04-28 15:35:00,15:56,2025-04-28 15:56:00,21,3,20.7,92,88,24
Skopje,SKP,Chair Airlines,A319,2025-04-28 16:55:00,17:17,2025-04-28 17:17:00,22,3,21.6,154,26,2
Geneva,GVA,Swiss,BCS3,2025-04-28 16:55:00,17:19,2025-04-28 17:19:00,24,3,21.6,65,88,24
Sarajevo,SJJ,Helvetic Airways,E295,2025-04-28 16:55:00,17:14,2025-04-28 17:14:00,19,3,21.6,148,57,44
Munich,MUC,Helvetic Airways,E295,2025-04-28 16:55:00,17:30,2025-04-28 17:30:00,35,3,21.6,111,57,44
Naples,NAP,Air Baltic,BCS3,2025-04-28 16:50:00,17:26,2025-04-28 17:26:00,36,3,21.6,113,5,24
London,LCY,Helvetic Airways,E290,2025-04-28 16:50:00,17:24,2025-04-28 17:24:00,34,3,21.6,92,57,43
Seville,SVQ,Edelweiss Air,A320,2025-04-28 16:45:00,17:00,2025-04-28 17:00:00,15,3,21.6,150,34,3
Punta Cana,PUJ,Edelweiss Air,A343,2025-04-28 16:45:00,17:10,2025-04-28 17:10:00,25,3,21.6,136,34,7
Amsterdam,AMS,Helvetic Airways,E195,2025-04-28 16:45:00,16:58,2025-04-28 16:58:00,13,3,21.6,5,57,42
Pristina,PRN,Edelweiss Air,A320,2025-04-28 16:50:00,17:06,2025-04-28 17:06:00,16,3,21.6,134,34,3
Porto,OPO,Swiss,A20N,2025-04-28 16:40:00,16:56,2025-04-28 16:56:00,16,3,21.6,132,88,0
Palma de Mallorca,PMI,NetJets Europe,E55P,2025-04-28 16:30:00,16:39,2025-04-28 16:39:00,9,3,21.6,125,73,48
Madrid,MAD,Helvetic Airways,E295,2025-04-28 16:30:00,16:51,2025-04-28 16:51:00,21,3,21.6,97,57,44
Berlin,BER,Helvetic Airways,E290,2025-04-28 16:30:00,16:47,2025-04-28 16:47:00,17,3,21.6,18,57,43
Dublin,DUB,Swiss,BCS1,2025-04-28 16:30:00,16:43,2025-04-28 16:43:00,13,3,21.6,53,88,23
Berlin,BER,NetJets Europe,C56X,2025-04-28 16:00:00,16:07,2025-04-28 16:07:00,7,3,21.6,18,73,30
Istanbul,SAW,Pegasus,A21N,2025-04-28 16:00:00,16:13,2025-04-28 16:13:00,13,3,21.6,76,76,1
Barcelona,BCN,Swiss,A320,2025-04-28 16:00:00,16:12,2025-04-28 16:12:00,12,3,21.6,13,88,3
Doha,DOH,Qatar Airways,A359,2025-04-28 16:40:00,17:08,2025-04-28 17:08:00,28,3,21.6,50,77,8
Venice,VCE,Swiss,A320,2025-04-28 17:30:00,17:54,2025-04-28 17:54:00,24,2,21.6,174,88,3
Copenhagen,CPH,Swiss,A320,2025-04-28 17:30:00,18:23,2025-04-28 18:23:00,53,2,21.6,45,88,3
Belgrade,BEG,Swiss,A320,2025-04-28 17:25:00,17:49,2025-04-28 17:49:00,24,2,21.6,16,88,3
Paris,CDG,Swiss,A321,2025-04-28 17:30:00,18:01,2025-04-28 18:01:00,31,2,21.6,126,88,4
Ljubljana,LJU,Air Baltic,BCS3,2025-04-28 17:25:00,17:59,2025-04-28 17:59:00,34,2,21.6,91,5,24
Boston,BOS,Swiss,A333,2025-04-28 17:35:00,18:13,2025-04-28 18:13:00,38,2,21.6,27,88,6
Berlin,BER,Swiss,BCS3,2025-04-28 17:30:00,18:12,2025-04-28 18:12:00,42,2,21.6,18,88,24
Amsterdam,AMS,Helvetic Airways,E190,2025-04-28 17:35:00,17:52,2025-04-28 17:52:00,17,2,21.6,5,57,41
Budapest,BUD,Helvetic Airways,E195,2025-04-28 17:40:00,18:03,2025-04-28 18:03:00,23,2,21.6,34,57,42
Hannover,HAJ,Swiss,BCS3,2025-04-28 17:40:00,17:58,2025-04-28 17:58:00,18,2,21.6,70,88,24
Hamburg,HAM,Swiss,BCS1,2025-04-28 17:40:00,18:05,2025-04-28 18:05:00,25,2,21.6,69,88,23
Edinburgh,EDI,Edelweiss Air,A320,2025-04-28 17:40:00,18:11,2025-04-28 18:11:00,31,2,21.6,56,34,3
Rome,FCO,Swiss,A321,2025-04-28 17:45:00,18:18,2025-04-28 18:18:00,33,2,21.6,142,88,4
Milan,MXP,Swiss,A320,2025-04-28 17:45:00,18:28,2025-04-28 18:28:00,43,2,21.6,108,88,3
Vienna,VIE,Swiss,A321,2025-04-28 17:50:00,18:17,2025-04-28 18:17:00,27,2,21.6,175,88,4
Bangkok,BKK,Swiss,B77W,2025-04-28 17:55:00,18:15,2025-04-28 18:15:00,20,2,21.6,12,88,20
Amsterdam,AMS,KLM,B738,2025-04-28 17:35:00,17:57,2025-04-28 17:57:00,22,2,21.6,5,65,14
Luxembourg,LUX,Air Baltic,BCS3,2025-04-28 17:25:00,17:45,2025-04-28 17:45:00,20,2,21.6,95,5,24
Birmingham,BHX,Helvetic Airways,E190,2025-04-28 17:20:00,17:35,2025-04-28 17:35:00,15,2,21.6,21,57,41
Barcelona,BCN,Swiss,A321,2025-04-28 17:20:00,17:47,2025-04-28 17:47:00,27,2,21.6,13,88,4
London,LHR,British Airways,A319,2025-04-28 17:25:00,17:48,2025-04-28 17:48:00,23,2,21.6,92,22,2
Skopje,SKP,Edelweiss Air,A320,2025-04-28 17:55:00,18:19,2025-04-28 18:19:00,24,2,21.6,154,34,3
Manchester,MAN,Air Baltic,BCS3,2025-04-28 17:00:00,17:32,2025-04-28 17:32:00,32,2,21.6,101,5,24
Hamburg,HAM,Swiss,A20N,2025-04-28 17:00:00,17:16,2025-04-28 17:16:00,16,2,21.6,69,88,0
Warsaw,WAW,Helvetic Airways,E190,2025-04-28 17:00:00,17:25,2025-04-28 17:25:00,25,2,21.6,177,57,41
London,LHR,Swiss,A21N,2025-04-28 17:05:00,17:22,2025-04-28 17:22:00,17,2,21.6,92,88,1
Dusseldorf,DUS,Helvetic Airways,E290,2025-04-28 17:05:00,17:20,2025-04-28 17:20:00,15,2,21.6,55,57,43
Kosice,KSC,Helvetic Airways,E190,2025-04-28 17:05:00,17:32,2025-04-28 17:32:00,27,2,21.6,83,57,41
Brussels,BRU,Swiss,BCS3,2025-04-28 17:55:00,18:21,2025-04-28 18:21:00,26,2,21.6,32,88,24
London,LGW,Swiss,BCS3,2025-04-28 17:10:00,18:04,2025-04-28 18:04:00,54,2,21.6,92,88,24
Prague,PRG,Swiss,A320,2025-04-28 17:05:00,17:39,2025-04-28 17:39:00,34,2,21.6,133,88,3
Malta,MLA,Helvetic Airways,E295,2025-04-28 17:15:00,17:44,2025-04-28 17:44:00,29,2,21.6,100,57,44
Florence,FLR,Swiss,BCS1,2025-04-28 17:15:00,17:54,2025-04-28 17:54:00,39,2,21.6,60,88,23
New York,EWR,Swiss,A333,2025-04-28 17:20:00,17:40,2025-04-28 17:40:00,20,2,21.6,115,88,6
Krakow,KRK,Helvetic Airways,E195,2025-04-28 17:15:00,17:37,2025-04-28 17:37:00,22,2,21.6,84,57,42
Brindisi,BDS,Swiss,BCS1,2025-04-28 17:10:00,17:36,2025-04-28 17:36:00,26,2,21.6,29,88,23
Nice,NCE,Swiss,A320,2025-04-28 17:10:00,17:28,2025-04-28 17:28:00,18,2,21.6,116,88,3
Bologna,BLQ,Helvetic Airways,E290,2025-04-28 17:15:00,18:08,2025-04-28 18:08:00,53,2,21.6,24,57,43
Frankfurt,FRA,Swiss,A20N,2025-04-28 18:55:00,19:08,2025-04-28 19:08:00,13,2,22.1,61,88,0
London,LHR,British Airways,A320,2025-04-28 18:55:00,19:50,2025-04-28 19:50:00,55,2,22.1,92,22,3
Split,SPU,Edelweiss Air,A320,2025-04-28 18:50:00,19:05,2025-04-28 19:05:00,15,2,22.1,156,34,3
Vienna,VIE,Austrian Airlines,A320,2025-04-28 18:45:00,19:00,2025-04-28 19:00:00,15,2,22.1,175,19,3
Istanbul,IST,Turkish Airlines,A332,2025-04-28 18:40:00,18:53,2025-04-28 18:53:00,13,2,22.1,76,93,5
Antalya,AYT,SunExpress,B738,2025-04-28 18:30:00,18:49,2025-04-28 18:49:00,19,2,22.1,6,87,14
Bari,BRI,Edelweiss Air,A320,2025-04-28 18:30:00,18:56,2025-04-28 18:56:00,26,2,22.1,14,34,3
Berlin,BER,Air Baltic,BCS3,2025-04-28 18:20:00,18:58,2025-04-28 18:58:00,38,2,22.1,18,5,24
Madrid,MAD,Air Europa,B738,2025-04-28 18:30:00,19:37,2025-04-28 19:37:00,67,2,22.1,97,9,14
Malta,MLA,KM Malta Airlines,A20N,2025-04-28 18:15:00,18:39,2025-04-28 18:39:00,24,2,22.1,100,66,0
Hamburg,HAM,NetJets Europe,E55P,2025-04-28 18:10:00,18:26,2025-04-28 18:26:00,16,2,22.1,69,73,48
Espargos,SID,Edelweiss Air,A320,2025-04-28 18:10:00,18:48,2025-04-28 18:48:00,38,2,22.1,57,34,3
Frankfurt,FRA,Condor,A320,2025-04-28 18:10:00,18:31,2025-04-28 18:31:00,21,2,22.1,61,29,3
Lamezia Terme,SUF,Edelweiss Air,A320,2025-04-28 18:05:00,18:24,2025-04-28 18:24:00,19,2,22.1,86,34,3
Frankfurt,FRA,Lufthansa,A320,2025-04-28 18:05:00,18:35,2025-04-28 18:35:00,30,2,22.1,61,69,3
Pristina,PRN,Chair Airlines,A320,2025-04-28 18:00:00,18:32,2025-04-28 18:32:00,32,2,22.1,134,26,3
Geneva,GVA,Swiss,A320,2025-04-28 18:00:00,18:29,2025-04-28 18:29:00,29,2,22.1,65,88,3
Dusseldorf,DUS,Air Baltic,BCS3,2025-04-28 18:00:00,18:45,2025-04-28 18:45:00,45,2,22.1,55,5,24
Brussels,BRU,NetJets Europe,C68A,2025-04-28 18:15:00,18:37,2025-04-28 18:37:00,22,2,22.1,32,73,32
Warsaw,WAW,LOT,B38M,2025-04-28 19:55:00,20:12,2025-04-28 20:12:00,17,2,21.1,177,68,11
Dubai,DWC,beOnd,A319,2025-04-28 19:35:00,22:14,2025-04-28 22:14:00,159,2,21.1,52,97,2
Male,MLE,Edelweiss Air,A343,2025-04-28 19:30:00,19:48,2025-04-28 19:48:00,18,2,21.1,99,34,7
Paris,CDG,Air France,BCS3,2025-04-28 19:30:00,20:05,2025-04-28 20:05:00,35,2,21.1,126,10,24
Stuttgart,STR,Swiss,A20N,2025-04-28 19:25:00,19:44,2025-04-28 19:44:00,19,2,21.1,158,88,0
Madrid,MAD,Iberia,A320,2025-04-28 19:45:00,21:08,2025-04-28 21:08:00,83,2,21.1,97,59,3
Riga,RIX,Air Baltic,BCS3,2025-04-28 19:15:00,19:22,2025-04-28 19:22:00,7,2,21.1,140,5,24
Dusseldorf,DUS,Eurowings,A320,2025-04-28 19:15:00,19:24,2025-04-28 19:24:00,9,2,21.1,55,45,3
Athens,ATH,Aegean Airlines,A320,2025-04-28 19:00:00,19:27,2025-04-28 19:27:00,27,2,21.1,8,2,3
Amsterdam,AMS,KLM,B738,2025-04-28 19:25:00,19:32,2025-04-28 19:32:00,7,2,21.1,5,65,14
Rome,FCO,ITA Airways,A20N,2025-04-28 19:05:00,19:20,2025-04-28 19:20:00,15,2,21.1,142,58,0
Helsinki,HEL,Finnair,A319,2025-04-28 19:05:00,19:10,2025-04-28 19:10:00,5,2,21.1,71,47,2
London,LCY,British Airways,E190,2025-04-28 19:15:00,19:25,2025-04-28 19:25:00,10,2,21.1,92,22,41
London,LGW,easyJet,A320,2025-04-28 20:55:00,21:11,2025-04-28 21:11:00,16,2,20.4,92,98,3
London,LHR,Swiss,BCS3,2025-04-28 20:55:00,21:10,2025-04-28 21:10:00,15,2,20.4,92,88,24
Vienna,VIE,Austrian Airlines,A320,2025-04-28 20:50:00,21:00,2025-04-28 21:00:00,10,2,20.4,175,19,3
Delhi,DEL,Air India,B788,2025-04-28 20:50:00,21:31,2025-04-28 21:31:00,41,2,20.4,48,11,21
Amsterdam,AMS,Swiss,BCS3,2025-04-28 20:40:00,20:49,2025-04-28 20:49:00,9,2,20.4,5,88,24
Belgrade,BEG,AirSERBIA,A319,2025-04-28 20:40:00,21:15,2025-04-28 21:15:00,35,2,20.4,16,13,2
Dublin,DUB,Aer Lingus,A320,2025-04-28 20:50:00,21:02,2025-04-28 21:02:00,12,2,20.4,53,3,3
Pristina,PRN,GP Aviation,B734,2025-04-28 20:30:00,20:50,2025-04-28 20:50:00,20,2,20.4,134,52,12
Cologne,CGN,Eurowings,A320,2025-04-28 20:30:00,20:30,2025-04-28 20:30:00,0,2,20.4,43,45,3
Copenhagen,CPH,SAS,A20N,2025-04-28 20:25:00,20:35,2025-04-28 20:35:00,10,2,20.4,45,80,0
Brussels,BRU,Brussels Airlines,A319,2025-04-28 20:15:00,20:28,2025-04-28 20:28:00,13,2,20.4,32,23,2
Berlin,BER,Eurowings,A320,2025-04-28 20:15:00,20:21,2025-04-28 20:21:00,6,2,20.4,18,45,3
