DESTINATION,IATA_CODE,AIRLINE,AIRCRAFT,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES,WEATHER,TEMP,DEST_CODE,AIRLINE_CODE,AIRCRAFT_CODE
Tenerife,TFS,Edelweiss Air,A320,2025-05-02 20:30:00,20:42,2025-05-02 20:42:00,12,1,15.4,166,34,3
Pristina,PRN,European Air Charter,A320,2025-05-02 20:30:00,20:44,2025-05-02 20:44:00,14,1,15.4,134,42,3
Copenhagen,CPH,SAS,A20N,2025-05-02 20:15:00,20:18,2025-05-02 20:18:00,3,1,15.4,45,80,0
Berlin,BER,Eurowings,A320,2025-05-02 20:15:00,21:31,2025-05-02 21:31:00,76,1,15.4,18,45,3
Hurghada,HRG,SkyUp Airlines,B738,2025-05-02 20:05:00,20:36,2025-05-02 20:36:00,31,1,15.4,74,84,14
Zagreb,ZAG,Croatia Airlines,DH8D,2025-05-02 20:05:00,20:13,2025-05-02 20:13:00,8,1,15.4,181,31,39
Frankfurt,FRA,Lufthansa,A320,2025-05-02 20:00:00,20:09,2025-05-02 20:09:00,9,1,15.4,61,69,3
Muscat,MCT,Oman Air,B38M,2025-05-02 20:35:00,20:41,2025-05-02 20:41:00,6,1,15.4,112,74,11
Dublin,DUB,Aer Lingus,A320,2025-05-02 21:35:00,21:33,2025-05-02 21:33:00,-2,1,15.4,53,3,3
Berlin,BER,Swiss,A20N,2025-05-02 21:35:00,22:32,2025-05-02 22:32:00,57,1,15.4,18,88,0
Copenhagen,CPH,Swiss,A20N,2025-05-02 21:35:00,21:42,2025-05-02 21:42:00,7,1,15.4,45,88,0
London,LTN,easyJet,A319,2025-05-02 21:35:00,22:09,2025-05-02 22:09:00,34,1,15.4,92,98,2
Tallinn,TLL,Air Baltic,BCS3,2025-05-02 21:45:00,22:00,2025-05-02 22:00:00,15,1,15.4,160,5,24
Vilnius,VNO,Air Baltic,BCS3,2025-05-02 21:55:00,22:07,2025-05-02 22:07:00,12,1,15.4,176,5,24
Paris,CDG,Air Baltic,BCS3,2025-05-02 21:50:00,22:05,2025-05-02 22:05:00,15,1,15.4,126,5,24
Barcelona,BCN,Swiss,A20N,2025-05-02 21:50:00,22:28,2025-05-02 22:28:00,38,1,15.4,13,88,0
Rome,FCO,easyJet,A319,2025-05-02 21:55:00,22:11,2025-05-02 22:11:00,16,1,15.4,142,98,2
Bucharest,OTP,Air Baltic,BCS3,2025-05-02 21:45:00,22:02,2025-05-02 22:02:00,17,1,15.4,33,5,24
Manchester,MAN,easyJet,A20N,2025-05-02 21:30:00,21:53,2025-05-02 21:53:00,23,1,15.4,101,98,0
Milan,MXP,Ethiopian Airlines,A359,2025-05-02 21:00:00,21:06,2025-05-02 21:06:00,6,1,15.4,108,40,8
Malaga,AGP,Swiss,A321,2025-05-02 21:25:00,22:03,2025-05-02 22:03:00,38,1,15.4,98,88,4
Palermo,PMO,Swiss,A320,2025-05-02 21:25:00,21:50,2025-05-02 21:50:00,25,1,15.4,124,88,3
Florence,FLR,Helvetic Airways,E295,2025-05-02 21:25:00,21:38,2025-05-02 21:38:00,13,1,15.4,60,57,44
Lisbon,LIS,Swiss,A20N,2025-05-02 21:20:00,21:40,2025-05-02 21:40:00,20,1,15.4,90,88,0
Athens,ATH,Swiss,A21N,2025-05-02 21:20:00,21:27,2025-05-02 21:27:00,7,1,15.4,8,88,1
Stockholm,ARN,Swiss,A20N,2025-05-02 21:20:00,21:36,2025-05-02 21:36:00,16,1,15.4,157,88,0
Geneva,GVA,Swiss,A21N,2025-05-02 21:05:00,21:13,2025-05-02 21:13:00,8,1,15.4,65,88,1
Munich,MUC,Helvetic Airways,E190,2025-05-02 21:05:00,21:15,2025-05-02 21:15:00,10,1,15.4,111,57,41
Oslo,OSL,Helvetic Airways,E190,2025-05-02 21:30:00,21:45,2025-05-02 21:45:00,15,1,15.4,122,57,41
Milan,MXP,Helvetic Airways,E190,2025-05-02 22:40:00,22:54,2025-05-02 22:54:00,14,1,15.4,108,57,41
Sao Paulo,GRU,Swiss,B77W,2025-05-02 22:40:00,23:09,2025-05-02 23:09:00,29,1,15.4,147,88,20
Hurghada,HRG,Edelweiss Air,A320,2025-05-02 22:30:00,22:52,2025-05-02 22:52:00,22,1,15.4,74,34,3
Muscat,MCT,Edelweiss Air,A343,2025-05-02 22:30:00,22:40,2025-05-02 22:40:00,10,1,15.4,112,34,7
Johannesburg,JNB,Swiss,A343,2025-05-02 22:40:00,23:11,2025-05-02 23:11:00,31,1,15.4,78,88,7
Barcelona,BCN,Vueling,A321,2025-05-02 22:05:00,22:17,2025-05-02 22:17:00,12,1,15.4,13,96,4
Prague,PRG,Swiss,BCS3,2025-05-02 22:05:00,22:25,2025-05-02 22:25:00,20,1,15.4,133,88,24
Valencia,VLC,Swiss,A320,2025-05-02 22:00:00,22:19,2025-05-02 22:19:00,19,1,15.4,173,88,3
Singapore,SIN,Swiss,B77W,2025-05-02 22:40:00,22:50,2025-05-02 22:50:00,10,1,15.4,153,88,20
Dubai,DXB,Emirates,B77W,2025-05-02 22:15:00,22:22,2025-05-02 22:22:00,7,1,15.4,52,38,20
Hong Kong,HKG,Swiss,B77W,2025-05-02 22:40:00,22:48,2025-05-02 22:48:00,8,1,15.4,73,88,20
