DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Pristina,PRN,Chair Airlines,A319,False,2025-04-30 05:45:00,06:00,2025-04-30 06:00:00,15
Heraklion,HER,Edelweiss Air,A359,False,2025-04-30 05:45:00,06:02,2025-04-30 06:02:00,17
Larnaca,LCA,Edelweiss Air,A320,False,2025-04-30 06:00:00,06:22,2025-04-30 06:22:00,22
Seville,SVQ,Edelweiss Air,A320,False,2025-04-30 06:05:00,06:16,2025-04-30 06:16:00,11
Pristina,PRN,Edelweiss Air,A320,False,2025-04-30 06:10:00,06:24,2025-04-30 06:24:00,14
Porto,OPO,Swiss,A321,False,2025-04-30 06:20:00,06:50,2025-04-30 06:50:00,30
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-04-30 06:20:00,07:00,2025-04-30 07:00:00,40
Tenerife,TFS,Edelweiss Air,A320,False,2025-04-30 06:20:00,06:54,2025-04-30 06:54:00,34
Hurghada,HRG,Chair Airlines,A320,False,2025-04-30 06:30:00,06:38,2025-04-30 06:38:00,8
Funchal,FNC,Edelweiss Air,A320,False,2025-04-30 06:30:00,06:47,2025-04-30 06:47:00,17
Edinburgh,EDI,Edelweiss Air,A320,False,2025-04-30 06:30:00,06:52,2025-04-30 06:52:00,22
Larnaca,LCA,Enter Air,B738,False,2025-04-30 06:30:00,06:42,2025-04-30 06:42:00,12
Toulon,TLN,NetJets Europe,C68A,False,2025-04-30 06:40:00,07:06,2025-04-30 07:06:00,26
Malta,MLA,Helvetic Airways,E290,False,2025-04-30 06:45:00,06:56,2025-04-30 06:56:00,11
Palma de Mallorca,PMI,Swiss,BCS3,False,2025-04-30 06:45:00,08:12,2025-04-30 08:12:00,87
Hurghada,HRG,Edelweiss Air,A320,False,2025-04-30 06:45:00,07:04,2025-04-30 07:04:00,19
Sofia,SOF,Helvetic Airways,E290,False,2025-04-30 06:50:00,07:10,2025-04-30 07:10:00,20
Sarajevo,SJJ,Helvetic Airways,E295,False,2025-04-30 06:50:00,07:11,2025-04-30 07:11:00,21
Frankfurt,FRA,Helvetic Airways,E295,False,2025-04-30 06:55:00,07:07,2025-04-30 07:07:00,12
Krakow,KRK,Helvetic Airways,E295,False,2025-04-30 06:55:00,07:18,2025-04-30 07:18:00,23
Belgrade,BEG,Air Baltic,BCS3,False,2025-04-30 06:55:00,07:13,2025-04-30 07:13:00,18
Madrid,MAD,Helvetic Airways,E190,False,2025-04-30 06:55:00,07:23,2025-04-30 07:23:00,28
Palermo,PMO,Air Baltic,BCS3,False,2025-04-30 07:00:00,07:27,2025-04-30 07:27:00,27
Bordeaux,BOD,Helvetic Airways,E195,False,2025-04-30 07:00:00,07:30,2025-04-30 07:30:00,30
Amsterdam,AMS,KLM,B738,False,2025-04-30 07:00:00,07:19,2025-04-30 07:19:00,19
London,LHR,Swiss,A21N,False,2025-04-30 07:05:00,07:42,2025-04-30 07:42:00,37
Manchester,MAN,Helvetic Airways,E190,False,2025-04-30 07:05:00,07:51,2025-04-30 07:51:00,46
Birmingham,BHX,Helvetic Airways,E190,False,2025-04-30 07:05:00,07:59,2025-04-30 07:59:00,54
Hannover,HAJ,Edelweiss Air,A320,False,2025-04-30 07:05:00,07:16,2025-04-30 07:16:00,11
Copenhagen,CPH,Air Baltic,BCS3,False,2025-04-30 07:10:00,07:25,2025-04-30 07:25:00,15
Naples,NAP,Helvetic Airways,E195,False,2025-04-30 07:10:00,07:31,2025-04-30 07:31:00,21
Barcelona,BCN,Swiss,A20N,False,2025-04-30 07:10:00,07:46,2025-04-30 07:46:00,36
Budapest,BUD,Air Baltic,BCS3,False,2025-04-30 07:10:00,07:33,2025-04-30 07:33:00,23
London,LHR,British Airways,A20N,False,2025-04-30 07:15:00,07:21,2025-04-30 07:21:00,6
Hamburg,HAM,Swiss,A20N,False,2025-04-30 07:15:00,07:35,2025-04-30 07:35:00,20
Munich,MUC,Swiss,BCS3,False,2025-04-30 07:15:00,07:36,2025-04-30 07:36:00,21
Amsterdam,AMS,Swiss,A21N,False,2025-04-30 07:20:00,07:56,2025-04-30 07:56:00,36
