DESTINATION_CLEAN,IATA_CODE,AIRLINE_CLEAN,AIRCRAFT_SHORT,CANCELED,DATETIME,DEPART_TIME,DEPART_DATETIME,DELAY_MINUTES
Seville,SVQ,Edelweiss Air,A320,False,2025-04-29 05:45:00,06:07,2025-04-29 06:07:00,22
Skopje,SKP,Chair Airlines,A319,False,2025-04-29 05:45:00,06:00,2025-04-29 06:00:00,15
Hurghada,HRG,Edelweiss Air,A320,False,2025-04-29 06:00:00,06:11,2025-04-29 06:11:00,11
Gran Canaria,LPA,Edelweiss Air,A320,False,2025-04-29 06:00:00,06:15,2025-04-29 06:15:00,15
Tenerife,TFS,Edelweiss Air,A320,False,2025-04-29 06:10:00,06:24,2025-04-29 06:24:00,14
Funchal,FNC,Edelweiss Air,A320,False,2025-04-29 06:10:00,06:32,2025-04-29 06:32:00,22
Porto,OPO,Swiss,A321,False,2025-04-29 06:20:00,07:00,2025-04-29 07:00:00,40
Lisbon,LIS,TAP Air Portugal,A20N,False,2025-04-29 06:20:00,06:45,2025-04-29 06:45:00,25
Marrakesh,RAK,Edelweiss Air,A320,False,2025-04-29 06:20:00,06:30,2025-04-29 06:30:00,10
Lisbon,LIS,Swiss,A321,False,2025-04-29 06:20:00,07:07,2025-04-29 07:07:00,47
Marsa Alam,RMF,Edelweiss Air,A320,False,2025-04-29 06:25:00,06:33,2025-04-29 06:33:00,8
Valencia,VLC,Helvetic Airways,E295,False,2025-04-29 06:30:00,07:02,2025-04-29 07:02:00,32
Lanzarote,ACE,Edelweiss Air,A320,False,2025-04-29 06:30:00,06:48,2025-04-29 06:48:00,18
Pristina,PRN,Edelweiss Air,A359,False,2025-04-29 06:30:00,06:50,2025-04-29 06:50:00,20
Hurghada,HRG,Chair Airlines,A320,False,2025-04-29 06:40:00,06:43,2025-04-29 06:43:00,3
Malta,MLA,Helvetic Airways,E295,False,2025-04-29 06:45:00,06:54,2025-04-29 06:54:00,9
Brindisi,BDS,Air Baltic,BCS3,False,2025-04-29 06:50:00,07:05,2025-04-29 07:05:00,15
Palma de Mallorca,PMI,Swiss,A20N,False,2025-04-29 06:50:00,07:09,2025-04-29 07:09:00,19
Hannover,HAJ,Helvetic Airways,E195,False,2025-04-29 06:55:00,07:04,2025-04-29 07:04:00,9
Frankfurt,FRA,Helvetic Airways,E195,False,2025-04-29 06:55:00,07:15,2025-04-29 07:15:00,20
Belgrade,BEG,Swiss,A321,False,2025-04-29 06:55:00,07:17,2025-04-29 07:17:00,22
Madrid,MAD,Helvetic Airways,E190,False,2025-04-29 06:55:00,07:16,2025-04-29 07:16:00,21
Amsterdam,AMS,KLM,B738,False,2025-04-29 07:00:00,07:19,2025-04-29 07:19:00,19
Birmingham,BHX,Helvetic Airways,E190,False,2025-04-29 07:00:00,07:31,2025-04-29 07:31:00,31
Krakow,KRK,Helvetic Airways,E195,False,2025-04-29 07:00:00,07:10,2025-04-29 07:10:00,10
London,LHR,Swiss,A21N,False,2025-04-29 07:05:00,07:29,2025-04-29 07:29:00,24
Manchester,MAN,Helvetic Airways,E290,False,2025-04-29 07:05:00,07:23,2025-04-29 07:23:00,18
Warsaw,WAW,Swiss,BCS3,False,2025-04-29 07:05:00,07:13,2025-04-29 07:13:00,8
Naples,NAP,Helvetic Airways,E295,False,2025-04-29 07:05:00,07:21,2025-04-29 07:21:00,16
Copenhagen,CPH,Helvetic Airways,E190,False,2025-04-29 07:10:00,07:21,2025-04-29 07:21:00,11
Barcelona,BCN,Swiss,A21N,False,2025-04-29 07:10:00,07:58,2025-04-29 07:58:00,48
Budapest,BUD,Air Baltic,BCS3,False,2025-04-29 07:10:00,07:24,2025-04-29 07:24:00,14
